"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.503927896E2,5.322936016E1,1.040015428E1,3.471209322E1,1.287974909E0,2.608739362E2,4.940001754E0,4.940001754E0
1.513927624E2,5.322936452E1,1.040013433E1,3.480748282E1,1.304020236E0,2.660634261E2,4.960760374E0,4.960760374E0
1.523927358E2,5.322936508E1,1.040011398E1,3.511640157E1,1.224408706E0,2.644040558E2,4.980242384E0,4.980242384E0
1.533927076E2,5.322936510E1,1.040009708E1,3.483506534E1,1.092413848E0,2.633623229E2,4.993734816E0,4.993734816E0
1.543926808E2,5.322936777E1,1.040007285E1,3.473219282E1,1.202438858E0,2.681190065E2,4.994079937E0,4.994079937E0
1.553926529E2,5.322936328E1,1.040005107E1,3.477993703E1,1.228808907E0,2.655851122E2,4.996323802E0,4.996323802E0
1.563926255E2,5.322936337E1,1.040002951E1,3.483193952E1,1.208340679E0,2.660811098E2,4.991580225E0,4.991580225E0
1.573925987E2,5.322936426E1,1.040001163E1,3.559443663E1,1.058858512E0,2.687772538E2,4.985145723E0,4.985145723E0
1.583925704E2,5.322936428E1,1.039998540E1,3.573343705E1,1.202768162E0,2.699193818E2,4.968379313E0,4.968379313E0
1.593925439E2,5.322936047E1,1.039996973E1,3.548412806E1,9.958778554E-1,2.688437954E2,4.962104503E0,4.962104503E0
1.603925165E2,5.322935940E1,1.039994644E1,3.515793113E1,1.081428782E0,2.686195674E2,4.965877810E0,4.965877810E0
1.613924882E2,5.322935858E1,1.039992912E1,3.445001410E1,8.195727491E-1,2.688396500E2,4.974357217E0,4.974357217E0
1.623924608E2,5.322935554E1,1.039990478E1,3.439354072E1,8.564995487E-1,2.666901765E2,4.986465119E0,4.986465119E0
1.633924336E2,5.322935534E1,1.039988157E1,3.466051412E1,9.292704795E-1,2.706435123E2,4.988152340E0,4.988152340E0
1.643924068E2,5.322935372E1,1.039985946E1,3.490223928E1,9.927184671E-1,2.701118450E2,5.002465486E0,5.002465486E0
1.653923793E2,5.322935202E1,1.039984547E1,3.521466763E1,8.419644420E-1,2.710011621E2,5.021063016E0,5.021063016E0
1.663923515E2,5.322934884E1,1.039982812E1,3.516487409E1,7.316579819E-1,2.658126011E2,5.010853205E0,5.010853205E0
1.673923239E2,5.322934657E1,1.039980669E1,3.495254300E1,8.565587062E-1,2.645605506E2,5.021203953E0,5.021203953E0
1.683922970E2,5.322934838E1,1.039977679E1,3.487980957E1,1.112482362E0,2.701383324E2,5.007208081E0,5.007208081E0
1.693922694E2,5.322934562E1,1.039975534E1,3.541724518E1,1.133608515E0,2.686153556E2,5.001893210E0,5.001893210E0
1.703922420E2,5.322934591E1,1.039973446E1,3.571679098E1,1.040771539E0,2.708293999E2,4.996186573E0,4.996186573E0
1.713922149E2,5.322934215E1,1.039970908E1,3.589953714E1,1.267436626E0,2.668815006E2,5.002350744E0,5.002350744E0
1.723921871E2,5.322934324E1,1.039968431E1,3.557332651E1,1.372409646E0,2.663238578E2,5.010664301E0,5.010664301E0
1.733921601E2,5.322934068E1,1.039966425E1,3.616626852E1,1.342887089E0,2.652528076E2,5.012042639E0,5.012042639E0
1.743921324E2,5.322933991E1,1.039964222E1,3.627229334E1,1.264719201E0,2.662371954E2,5.021098923E0,5.021098923E0
1.753921052E2,5.322933943E1,1.039961845E1,3.632493656E1,1.280694736E0,2.675485515E2,5.019209679E0,5.019209679E0
1.763920772E2,5.322933946E1,1.039960308E1,3.691115788E1,1.047799034E0,2.684750152E2,5.007605831E0,5.007605831E0
1.773920501E2,5.322933754E1,1.039957637E1,3.628970345E1,1.163549796E0,2.632009482E2,5.004271935E0,5.004271935E0
1.783920221E2,5.322933430E1,1.039956022E1,3.543172320E1,1.205401620E0,2.629542677E2,5.001745765E0,5.001745765E0
1.793919955E2,5.322932975E1,1.039953977E1,3.608961431E1,1.255343087E0,2.606179190E2,5.002120468E0,5.002120468E0
1.803919683E2,5.322933023E1,1.039951719E1,3.553076308E1,1.157577778E0,2.622360851E2,4.999785911E0,4.999785911E0
1.813919402E2,5.322932727E1,1.039949660E1,3.542018581E1,1.151007514E0,2.625778688E2,4.974050081E0,4.974050081E0
1.823919125E2,5.322932893E1,1.039948042E1,3.548608830E1,1.028212865E0,2.667917848E2,4.968261419E0,4.968261419E0
1.833918856E2,5.322932137E1,1.039945455E1,3.556655611E1,1.290527008E0,2.573141640E2,4.943920719E0,4.943920719E0
1.843918580E2,5.322932141E1,1.039943508E1,3.549036945E1,1.239280224E0,2.603230607E2,4.937341587E0,4.937341587E0
1.853918309E2,5.322932305E1,1.039940775E1,3.531940437E1,1.288551720E0,2.602873013E2,4.933322494E0,4.933322494E0
1.863918036E2,5.322932459E1,1.039937772E1,3.568831702E1,1.449079395E0,2.636729669E2,4.929358535E0,4.929358535E0
1.873917763E2,5.322931873E1,1.039935533E1,3.575243237E1,1.364814726E0,2.560315574E2,4.927686621E0,4.927686621E0
1.883917483E2,5.322931323E1,1.039934216E1,3.545074827E1,1.080918391E0,2.479782792E2,4.943070527E0,4.943070527E0
1.893917211E2,5.322931508E1,1.039932040E1,3.616513249E1,1.156960129E0,2.618027268E2,4.951428805E0,4.951428805E0
1.903916936E2,5.322932065E1,1.039931105E1,3.543618015E1,8.242335962E-1,2.750099459E2,4.956468994E0,4.956468994E0
1.913916668E2,5.322932686E1,1.039929779E1,3.502807398E1,8.551453601E-1,2.872216494E2,4.934679168E0,4.934679168E0
1.923916388E2,5.322933313E1,1.039929130E1,3.472265550E1,6.795637149E-1,2.960714097E2,4.947346000E0,4.947346000E0
1.933916116E2,5.322933996E1,1.039928034E1,3.469643289E1,6.874645865E-1,3.009163208E2,4.962906551E0,4.962906551E0
1.943915836E2,5.322934954E1,1.039926521E1,3.471511830E1,8.516172728E-1,3.040945804E2,4.964801666E0,4.964801666E0
